stem_id,plot_id,species_id,x,y
H1760_1214,H1760,ABA,86.5,63
H1760_1215,H1760,ABA,89,60.25
H1760_1216,H1760,ASP,82.5,68
H1760_1217,H1760,ASP,84.5,69.75
H1760_1218,H1760,ABA,81.25,65.25
H1760_1219,H1760,ABA,83.25,62.25
H1760_122,H1760,ABA,75.35,2.05
H1760_1220,H1760,ABA,83.5,66.75
H1760_1221,H1760,ABA,85.25,68.25
H1760_1222,H1760,ABA,85.75,69.5
H1760_1223,H1760,ABA,86.75,63.75
H1760_1224,H1760,ABA,88.5,67.5
H1760_1225,H1760,TOC,85.25,62
H1760_1226,H1760,ASP,97.99,66.43
H1760_1227,H1760,ASP,96.65,62.69
H1760_1228,H1760,ASP,99.34,62.37
H1760_1229,H1760,ASP,93.37,67.49
H1760_123,H1760,ABA,77.6,0.82
H1760_1230,H1760,ABA,93.6,65.98
H1760_1231,H1760,TOC,91,64.75
H1760_1232,H1760,BPA,90.25,67
H1760_1233,H1760,TOC,90.75,69.75
H1760_1234,H1760,TOC,92.5,64
H1760_1235,H1760,TOC,97.75,68.5
H1760_1236,H1760,ASP,97,60
H1760_1237,H1760,ASP,100,65
H1760_1238,H1760,TOC,88.5,64.5
H1760_1239,H1760,TOC,95,63
H1760_124,H1760,TOC,72.75,7.5
H1760_1240,H1760,ABA,90.5,64
H1760_1241,H1760,ABA,90.75,66.5
H1760_1242,H1760,ABA,91.25,62.5
H1760_1243,H1760,ABA,94.25,69.5
H1760_1244,H1760,ABA,96,60.75
H1760_1245,H1760,ABA,97,61.5
H1760_1246,H1760,TOC,95,62
H1760_1247,H1760,TOC,95,68.5
H1760_1248,H1760,ASP,7.16,73.23
H1760_1249,H1760,TOC,10,76
H1760_125,H1760,TOC,78.5,9
H1760_1250,H1760,TOC,2.5,71.5
H1760_1251,H1760,BPA,4,79.75
H1760_1252,H1760,TOC,5.25,79
H1760_1253,H1760,ABA,5,78
H1760_1254,H1760,ABA,5.75,79.5
H1760_1255,H1760,ABA,6.75,71.25
H1760_1256,H1760,ABA,7,76.5
H1760_1257,H1760,ABA,2.5,75.5
H1760_1258,H1760,ABA,0.25,72.75
H1760_1259,H1760,ABA,0.5,72.75
H1760_126,H1760,TOC,76,6.5
H1760_1260,H1760,ABA,2.5,75
H1760_1261,H1760,ABA,3,73
H1760_1262,H1760,ABA,3.25,72.5
H1760_1263,H1760,ABA,3.5,71
H1760_1264,H1760,ABA,4.5,74
H1760_1265,H1760,ABA,8,79.75
H1760_1266,H1760,ABA,8.5,78.75
H1760_1267,H1760,TOC,1,70.75
H1760_1268,H1760,ABA,18.43,76
H1760_1269,H1760,BPA,16.75,71
H1760_127,H1760,TOC,76,3
H1760_1270,H1760,TOC,12,74
