meas_id,health_id,location_id,notes
HM34887,CD,A,NA
HM34890,CD,A,NA
HM34891,CH,A,NA
HM34917,CD,A,NA
HM34944,CD,A,NA
HM34951,DA,C,NA
HM34954,DA,C,NA
HM34963,CD,A,NA
HM34980,WC,A,NA
HM34996,CD,A,NA
HM35018,CD,A,NA
HM35028,WO,A,NA
HM35042,CD,A,NA
HM35078,CD,A,NA
HM35294,CH,C,NA
HM35308,WO,A,NA
HM35353,DA,D,NA
HM35369,CD,A,NA
HM35376,WO,A,NA
HM35478,CH,A,NA
HM35493,DA,D,NA
HM35538,WC,A,NA
HM35539,WO,C,NA
HM35539,CK,C,NA
HM35543,WC,A,NA
HM35546,CD,A,NA
HM35547,CD,A,NA
HM35568,CD,A,NA
HM35586,CD,A,NA
HM35599,WO,A,NA
HM35609,CK,N,NA
HM35609,CD,A,NA
HM35610,CH,D,NA
HM35643,CD,A,NA
HM35758,WO,A,NA
HM35759,WO,A,NA
HM35759,FN,A,NA
HM35796,CD,A,NA
HM35797,CD,A,NA
HM36083,WO,A,NA
HM36127,WO,A,NA
HM36252,DA,A,NA
HM36253,DA,D,NA
HM36253,WO,C,NA
HM36300,WC,A,NA
HM36301,WO,C,NA
HM36427,CH,A,NA
HM36428,WO,A,NA
HM36551,DA,A,NA
HM36562,CD,A,NA
HM37016,FN,A,NA
HM37017,FN,A,NA
HM37087,WC,A,NA
HM37090,CD,A,NA
HM37091,CD,A,NA
HM37563,DA,A,NA
HM37566,CD,A,NA
HM37857,WO,A,NA
HM37968,WC,A,NA
HM38069,CD,A,NA
HM38072,CD,A,NA
HM38073,CD,A,NA
HM38103,CD,A,NA
HM38204,CD,A,NA
HM38205,CD,A,NA
HM38277,CD,A,NA
HM38278,DA,D,NA
HM38290,DA,D,NA
HM38313,WO,A,NA
HM38314,CD,A,NA
HM38323,CD,A,NA
HM38361,DA,C,NA
