plot_id,fire_year,transect,long,lat
1870-T6-0200,1870,1870-T6,NA,NA
1870-T6-0250,1870,1870-T6,NA,NA
1870-T6-0300,1870,1870-T6,NA,NA
1870-T6-0350,1870,1870-T6,NA,NA
1916-T1-0050,1916,1916-T1,-79.29286,48.44082
1916-T1-0100,1916,1916-T1,-79.29282,48.44032
1916-T1-0150,1916,1916-T1,-79.293,48.4402
1916-T1-0200,1916,1916-T1,-79.29293,48.43964
1916-T1-0250,1916,1916-T1,-79.29357,48.4397
1916-T1-0300,1916,1916-T1,-79.29424,48.43964
1916-T1-0350,1916,1916-T1,-79.29422,48.44019
1916-T1-0400,1916,1916-T1,-79.29411,48.44058
1916-T1-0450,1916,1916-T1,-79.29409,48.44094
1916-T1-0500,1916,1916-T1,-79.29395,48.44149
1916-T1-0550,1916,1916-T1,-79.29405,48.44188
1916-T1-0600,1916,1916-T1,-79.29465,48.44198
1916-T1-0650,1916,1916-T1,-79.2955,48.44223
1916-T1-0700,1916,1916-T1,-79.29545,48.44131
1916-T1-0750,1916,1916-T1,-79.29534,48.44083
1916-T1-0800,1916,1916-T1,-79.29531,48.44043
1916-T1-0850,1916,1916-T1,-79.29564,48.43991
1916-T1-0900,1916,1916-T1,-79.29627,48.44028
1916-T1-0950,1916,1916-T1,-79.29691,48.44017
1916-T1-1000,1916,1916-T1,NA,NA
1916-T1-1050,1916,1916-T1,-79.29637,48.44073
1916-T1-1100,1916,1916-T1,-79.29565,48.44075
1916-T2-0050,1916,1916-T2,NA,NA
1916-T2-0100,1916,1916-T2,-79.3028,48.44258
1916-T2-0150,1916,1916-T2,-79.30325,48.44206
1916-T2-0200,1916,1916-T2,-79.30303,48.44153
1916-T2-0250,1916,1916-T2,-79.30331,48.4413
1916-T2-0300,1916,1916-T2,-79.30293,48.44088
1916-T2-0350,1916,1916-T2,NA,NA
1916-T2-0400,1916,1916-T2,NA,NA
1916-T2-0450,1916,1916-T2,-79.30315,48.44033
1916-T2-0500,1916,1916-T2,-79.3025,48.44015
1916-T2-0550,1916,1916-T2,-79.30244,48.44053
1916-T2-0600,1916,1916-T2,-79.30248,48.44105
1916-T2-0650,1916,1916-T2,-79.30258,48.4415
1916-T2-0700,1916,1916-T2,-79.30255,48.44197
1916-T2-0750,1916,1916-T2,-79.30254,48.44225
1916-T2-0800,1916,1916-T2,-79.30197,48.44227
1916-T2-0850,1916,1916-T2,-79.30184,48.44181
1916-T2-0900,1916,1916-T2,-79.30179,48.44163
1916-T2-0950,1916,1916-T2,-79.302,48.4408
1916-T2-1000,1916,1916-T2,-79.30199,48.44023
1916-T2-1050,1916,1916-T2,-79.30201,48.43994
1916-T2-1100,1916,1916-T2,-79.30141,48.43992
1916-T2-1150,1916,1916-T2,-79.30139,48.44025
1916-T2-1200,1916,1916-T2,-79.30146,48.4407
1916-T2-1250,1916,1916-T2,-79.3014,48.44129
1916-T2-1300,1916,1916-T2,-79.30144,48.4416
1916-T2-1350,1916,1916-T2,-79.30134,48.44195
1919-T0-0750,1919,1919-T0,-79.30038,48.48184
1919-T0-0800,1919,1919-T0,-79.30089,48.48174
1919-T0-0850,1919,1919-T0,-79.30118,48.48216
1919-T0-0900,1919,1919-T0,-79.30188,48.48246
1919-T0-0950,1919,1919-T0,NA,NA
1919-T0-1000,1919,1919-T0,-79.3029,48.483
1919-T0-1050,1919,1919-T0,-79.30351,48.48336
1919-T0-1100,1919,1919-T0,-79.30382,48.48377
1919-T1-0000,NA,NA,NA,NA
1919-T1-0050,1919,1919-T1,NA,NA
1919-T1-0100,1919,1919-T1,NA,NA
1919-T1-0150,1919,1919-T1,NA,NA
1919-T1-0200,1919,1919-T1,NA,NA
1919-T1-0250,1919,1919-T1,NA,NA
1919-T1-0300,1919,1919-T1,NA,NA
1919-T1-0350,1919,1919-T1,NA,NA
1919-T1-0400,1919,1919-T1,NA,NA
1919-T1-0450,1919,1919-T1,NA,NA
1919-T1-0-50,1919,1919-T1,NA,NA
1919-T1-0500,1919,1919-T1,NA,NA
1919-T1-0550,1919,1919-T1,NA,NA
1919-T1-0600,1919,1919-T1,NA,NA
1919-T1-0650,1919,1919-T1,NA,NA
1919-T1-0700,1919,1919-T1,NA,NA
1919-T1-0750,1919,1919-T1,NA,NA
1919-T1-0800,1919,1919-T1,NA,NA
1919-T1-0850,1919,1919-T1,NA,NA
1919-T1-0900,1919,1919-T1,NA,NA
1919-T1-0950,1919,1919-T1,NA,NA
1919-T1--100,1919,1919-T1,NA,NA
1944-T1-0050,1944,1944-T1,-79.26273,48.43998
1944-T1-0100,1944,1944-T1,-79.26291,48.4395
1944-T1-0150,1944,1944-T1,-79.26302,48.43912
1944-T1-0200,1944,1944-T1,-79.26304,48.43853
1944-T1-0250,1944,1944-T1,-79.26308,48.43817
1944-T1-0300,1944,1944-T1,-79.26311,48.4378
1944-T1-0350,1944,1944-T1,-79.26291,48.43746
1944-T1-0400,1944,1944-T1,-79.263,48.4369
1944-T1-0450,1944,1944-T1,-79.26312,48.43664
1944-T1-0500,1944,1944-T1,-79.2632,48.43629
1944-T1-0550,1944,1944-T1,-79.26312,48.43551
1944-T1-0600,1944,1944-T1,-79.26338,48.43542
1944-T1-0650,1944,1944-T1,-79.26393,48.43538
1944-T1-0700,1944,1944-T1,-79.26433,48.43521
1944-T1-0750,1944,1944-T1,-79.2645,48.43571
1944-T1-0800,1944,1944-T1,-79.26472,48.43614
1944-T1-0850,1944,1944-T1,-79.26463,48.43663
1944-T1-0900,1944,1944-T1,-79.26454,48.43705
1944-T1-0950,1944,1944-T1,-79.26454,48.43736
1944-T1-1000,1944,1944-T1,-79.2645,48.43779
1944-T1-1050,1944,1944-T1,-79.26454,48.4383
1944-T1-1100,1944,1944-T1,-79.26446,48.43874
1944-T1-1150,1944,1944-T1,-79.26433,48.43906
1944-T2-0050,1944,1944-T2,-79.28397,48.4336
1944-T2-0100,1944,1944-T2,-79.28452,48.43357
1944-T2-0150,1944,1944-T2,-79.28516,48.43356
1944-T2-0200,1944,1944-T2,-79.28574,48.43352
1944-T2-0250,1944,1944-T2,-79.28647,48.43355
1944-T2-0300,1944,1944-T2,-79.2872,48.43335
1944-T2-0350,1944,1944-T2,-79.28806,48.43354
1944-T2-0400,1944,1944-T2,-79.28855,48.4336
