"stem_id","short_id","long_id","species_id","pith","estimate_pith"
"C560","H1823_1666","To0156","TOC",NA,NA
"C561",NA,"To0314","TOC",2,NA
"C569",NA,"To0360","TOC",NA,"2"
"C585",NA,"To0414","TOC",2,NA
"C60",NA,"To0429","TOC",NA,NA
"C615",NA,"To0446","TOC",NA,NA
"C646",NA,"To0583","TOC",NA,"1"
"C648",NA,"To0590","TOC",NA,"2"
"C666",NA,"To0617","TOC",NA,NA
"C667",NA,"To0677","TOC",NA,"2"
"C678","H1823_277","To0C30","TOC",NA,NA
"C689","H1823_302","To0C52","TOC",NA,NA
"C696",NA,"To0C75","TOC",NA,"2"
"C717",NA,"To0C85","TOC",2,NA
"C732","H1823_58","To0C89","TOC",NA,"5"
"C740",NA,"To0C98","TOC",NA,NA
"C75",NA,"To3286","TOC",NA,"2"
"C762",NA,"ToC102","TOC",NA,"4"
"C784",NA,"ToC107","TOC",2,NA
"C793",NA,"ToC149","TOC",2,NA
"C804","H1823_562","ToC156","TOC",NA,NA
"C811",NA,"ToC222","TOC",NA,NA
"C834",NA,"ToC297","TOC",NA,"5"
"C836","H1823_574","ToC318","TOC",NA,NA
"C843","H1823_854","ToC342","TOC",NA,"4"
"C844","H1823_863","ToC348","TOC",NA,NA
"C85","H1823_607","ToC377","TOC",NA,"3"
"C856","H1823_609","ToC379","TOC",2,NA
"C859","H1823_612","ToC382","TOC",NA,"4"
"C860","H1823_616","ToC386","TOC",NA,"8"
"C872",NA,"ToC390","TOC",NA,"3"
"C873","H1823_1291","ToC437","TOC",NA,"4"
"C89","H1823_1105","ToC456","TOC",NA,"7"
"C910","H1823_1106","ToC457","TOC",2,NA
"C912","H1823_1113","ToC464","TOC",NA,NA
"C934","H1823_1119","ToC470","TOC",NA,NA
"C935","H1823_1120","ToC471","TOC",2,NA
"C98","H1823_1358","ToC489","TOC",NA,NA
"C992","H1823_1826","ToC561","TOC",NA,NA
"C996","H1823_651","ToC648","TOC",2,NA
"dps32","H1823_669","ToC666","TOC",NA,NA
"I1","H1823_915","ToC678","TOC",NA,NA
"I109","H1823_622","ToC696","TOC",NA,"2"
"I113","H1823_1100","ToC732","TOC",NA,"6"
"I114","H1823_1317","ToC740","TOC",NA,NA
"I117","H1823_1619","ToC784","TOC",2,NA
"I12","H1823_1557","ToC935","TOC",NA,"2"
"I123",NA,"ToC992","TOC",NA,NA
"I124",NA,"ToC996","TOC",NA,"8"
"I143","H1823_941","Ab0077","ABA",NA,"2"
"I147","H1823_1641","Ab0188","ABA",NA,"2"
"I148",NA,"Ab0302","ABA",NA,NA
"I152","H1823_1950","Ab0405","ABA",NA,"3"
"I163",NA,"Ab0589","ABA",NA,"4"
"I165","H1823_1744","Ab0637","ABA",2,NA
"I174",NA,"Ab0C56","ABA",2,NA
"I176",NA,"Ab0C60","ABA",2,NA
"I188","H1823_786","AbC121","ABA",2,NA
"I190",NA,"AbC136","ABA",NA,"2"
"I201",NA,"AbC144","ABA",NA,"2"
"I213",NA,"AbC163","ABA",2,NA
"I22",NA,"AbC172","ABA",NA,"12"
"I226",NA,"AbC178","ABA",2,NA
"I231","H1823_1257","AbC179","ABA",NA,"7"
"I250",NA,"AbC198","ABA",2,NA
"I30",NA,"AbC210","ABA",NA,"4"
"I32",NA,"AbC244","ABA",2,NA
"I33",NA,"AbC263","ABA",NA,"2"
"I35",NA,"AbC266","ABA",2,NA
"I4",NA,"AbC270","ABA",NA,NA
"I40","H1823_2027","AbC284","ABA",NA,"9"
"I55","H1823_581","AbC325","ABA",2,NA
"I70","H1823_1082","AbC343","ABA",NA,"6"
"I75","H1823_593","AbC363","ABA",NA,"3"
"I8","H1823_610","AbC380","ABA",NA,"2"
"T10","H1823_1114","AbC465","ABA",2,NA
"T13","H1823_1370","AbC501","ABA",2,NA
"T16","H1823_1825","AbC560","ABA",NA,NA
"T17",NA,"AbC615","ABA",NA,NA
"T18","H1823_649","AbC646","ABA",NA,"3"
"T2","H1823_905","AbC667","ABA",NA,NA
"T20","H1823_925","AbC689","ABA",NA,NA
"T21","H1823_1863","AbC762","ABA",NA,"2"
"T22",NA,"AbC804","ABA",2,NA
"T23",NA,"AbC811","ABA",NA,NA
"T26",NA,"AbC834","ABA",NA,NA
"T3",NA,"AbC836","ABA",NA,"4"
"T33","H1823_2307","AbC843","ABA",2,NA
"T36",NA,"AbC844","ABA",2,NA
"T37","H1823_2295","AbC856","ABA",2,NA
"T38",NA,"AbC859","ABA",NA,"2"
"T39",NA,"AbC860","ABA",2,NA
"T4",NA,"AbC872","ABA",NA,NA
"T40","H1823_2045","AbC873","ABA",2,NA
"T44","H1823_1815","AbC910","ABA",2,NA
"T45","H1823_1783","AbC912","ABA",NA,"2"
"T49",NA,"AbC934","ABA",NA,"3"
"T50","H1823_1",NA,"ABA",NA,NA
"T52","H1823_1",NA,"PGL",NA,NA
"T53","H1823_1",NA,"PGL",NA,NA
"T54","H1823_1",NA,"PTR",NA,NA
"T59","H1823_1",NA,"PTR",NA,NA
"T60","H1823_1",NA,"PTR",NA,NA
"T63","H1823_1",NA,"PTR",NA,NA
"T64","H1823_1",NA,"PTR",NA,NA
